complaint_id,product,issue,consumer_complaint_narrative,date_received
COMP-00373,Personal loan,Billing disputes,I was charged an unexpected fee of $425 on my personal loan account. I called customer service and waited 114 minutes but got no resolution.,2020-03-23
COMP-00374,Money transfer,Incorrect information on report,My money transfer application was denied without explanation. The incorrect information on report has been ongoing for 69 days and I have received no response.,2020-02-22
COMP-00375,Credit card,Unauthorized transactions,I was charged an unexpected fee of $280 on my credit card account. I called customer service and waited 29 minutes but got no resolution.,2024-03-12
COMP-00376,Debt collection,Unauthorized transactions,Unauthorized charges appeared on my debt collection. I reported the unauthorized transactions but the company refused to investigate properly.,2024-10-07
COMP-00377,Personal loan,Account access issues,I have been trying to resolve this account access issues for 22 days. The personal loan department keeps transferring me without helping.,2021-12-16
COMP-00378,Credit card,Unauthorized transactions,Unauthorized charges appeared on my credit card. I reported the unauthorized transactions but the company refused to investigate properly.,2021-09-16
COMP-00379,Auto loan,Unauthorized transactions,The interest rate on my auto loan was changed without notice. This unauthorized transactions is causing significant financial hardship.,2022-12-18
COMP-00380,Credit card,Billing disputes,I have been trying to resolve this billing disputes for 30 days. The credit card department keeps transferring me without helping.,2021-06-27
COMP-00381,Personal loan,Closing account,My personal loan application was denied without explanation. The closing account has been ongoing for 29 days and I have received no response.,2020-08-18
COMP-00382,Checking account,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 61 days. The checking account department keeps transferring me without helping.,2023-07-01
COMP-00383,Mortgage,Problem with payment,I have been trying to resolve this problem with payment for 42 days. The mortgage department keeps transferring me without helping.,2022-04-26
COMP-00384,Money transfer,Unauthorized transactions,I was charged an unexpected fee of $417 on my money transfer account. I called customer service and waited 17 minutes but got no resolution.,2024-06-18
COMP-00385,Credit card,Managing account,My credit card application was denied without explanation. The managing account has been ongoing for 35 days and I have received no response.,2024-05-14
COMP-00386,Auto loan,Incorrect information on report,Unauthorized charges appeared on my auto loan. I reported the incorrect information on report but the company refused to investigate properly.,2023-04-18
COMP-00387,Money transfer,Closing account,My money transfer application was denied without explanation. The closing account has been ongoing for 57 days and I have received no response.,2020-03-29
COMP-00388,Credit card,Incorrect information on report,The interest rate on my credit card was changed without notice. This incorrect information on report is causing significant financial hardship.,2022-07-26
COMP-00389,Auto loan,Unauthorized transactions,Unauthorized charges appeared on my auto loan. I reported the unauthorized transactions but the company refused to investigate properly.,2020-01-02
COMP-00390,Money transfer,Unauthorized transactions,I was charged an unexpected fee of $423 on my money transfer account. I called customer service and waited 113 minutes but got no resolution.,2023-06-01
COMP-00391,Debt collection,Billing disputes,The interest rate on my debt collection was changed without notice. This billing disputes is causing significant financial hardship.,2021-03-09
COMP-00392,Student loan,Account access issues,I was charged an unexpected fee of $202 on my student loan account. I called customer service and waited 36 minutes but got no resolution.,2022-11-17
COMP-00393,Credit card,Billing disputes,The interest rate on my credit card was changed without notice. This billing disputes is causing significant financial hardship.,2022-06-20
COMP-00394,Mortgage,Fraud or scam,The interest rate on my mortgage was changed without notice. This fraud or scam is causing significant financial hardship.,2023-01-05
COMP-00395,Personal loan,Closing account,The interest rate on my personal loan was changed without notice. This closing account is causing significant financial hardship.,2021-07-07
COMP-00396,Auto loan,Incorrect information on report,I have been trying to resolve this incorrect information on report for 7 days. The auto loan department keeps transferring me without helping.,2024-10-02
COMP-00397,Personal loan,Closing account,I have been trying to resolve this closing account for 34 days. The personal loan department keeps transferring me without helping.,2020-06-08
COMP-00398,Money transfer,Managing account,My money transfer application was denied without explanation. The managing account has been ongoing for 67 days and I have received no response.,2024-01-30
COMP-00399,Money transfer,Account access issues,Unauthorized charges appeared on my money transfer. I reported the account access issues but the company refused to investigate properly.,2022-08-25
COMP-00400,Auto loan,Account access issues,I was charged an unexpected fee of $370 on my auto loan account. I called customer service and waited 58 minutes but got no resolution.,2023-06-21
COMP-00401,Auto loan,Billing disputes,My auto loan application was denied without explanation. The billing disputes has been ongoing for 12 days and I have received no response.,2020-07-24
COMP-00402,Credit card,Account access issues,I was charged an unexpected fee of $283 on my credit card account. I called customer service and waited 76 minutes but got no resolution.,2022-06-15
COMP-00403,Personal loan,Problem with payment,I was charged an unexpected fee of $131 on my personal loan account. I called customer service and waited 72 minutes but got no resolution.,2021-06-07
COMP-00404,Money transfer,Billing disputes,My money transfer application was denied without explanation. The billing disputes has been ongoing for 58 days and I have received no response.,2021-04-15
COMP-00405,Debt collection,Closing account,The interest rate on my debt collection was changed without notice. This closing account is causing significant financial hardship.,2024-02-06
COMP-00406,Credit card,Billing disputes,Unauthorized charges appeared on my credit card. I reported the billing disputes but the company refused to investigate properly.,2022-02-14
COMP-00407,Debt collection,Closing account,I have been trying to resolve this closing account for 86 days. The debt collection department keeps transferring me without helping.,2024-11-06
COMP-00408,Money transfer,Account access issues,My money transfer application was denied without explanation. The account access issues has been ongoing for 26 days and I have received no response.,2020-04-29
COMP-00409,Debt collection,Unauthorized transactions,Unauthorized charges appeared on my debt collection. I reported the unauthorized transactions but the company refused to investigate properly.,2021-12-27
COMP-00410,Student loan,Account access issues,I was charged an unexpected fee of $324 on my student loan account. I called customer service and waited 74 minutes but got no resolution.,2022-10-11
COMP-00411,Debt collection,Managing account,Unauthorized charges appeared on my debt collection. I reported the managing account but the company refused to investigate properly.,2022-01-04
COMP-00412,Credit card,Account access issues,I have been trying to resolve this account access issues for 73 days. The credit card department keeps transferring me without helping.,2022-01-15
COMP-00413,Student loan,Fraud or scam,I have been trying to resolve this fraud or scam for 87 days. The student loan department keeps transferring me without helping.,2020-04-17
COMP-00414,Mortgage,Account access issues,The interest rate on my mortgage was changed without notice. This account access issues is causing significant financial hardship.,2023-08-21
COMP-00415,Debt collection,Fraud or scam,Unauthorized charges appeared on my debt collection. I reported the fraud or scam but the company refused to investigate properly.,2024-10-07
COMP-00416,Mortgage,Billing disputes,The interest rate on my mortgage was changed without notice. This billing disputes is causing significant financial hardship.,2020-06-27
COMP-00417,Debt collection,Closing account,I have been trying to resolve this closing account for 21 days. The debt collection department keeps transferring me without helping.,2022-12-23
COMP-00418,Debt collection,Account access issues,The interest rate on my debt collection was changed without notice. This account access issues is causing significant financial hardship.,2023-01-31
COMP-00419,Checking account,Billing disputes,I was charged an unexpected fee of $56 on my checking account account. I called customer service and waited 26 minutes but got no resolution.,2022-02-06
COMP-00420,Mortgage,Closing account,I have been trying to resolve this closing account for 54 days. The mortgage department keeps transferring me without helping.,2022-07-16
COMP-00421,Auto loan,Billing disputes,I have been trying to resolve this billing disputes for 72 days. The auto loan department keeps transferring me without helping.,2021-09-26
COMP-00422,Credit card,Managing account,I was charged an unexpected fee of $492 on my credit card account. I called customer service and waited 62 minutes but got no resolution.,2022-04-11
COMP-00423,Mortgage,Account access issues,I have been trying to resolve this account access issues for 23 days. The mortgage department keeps transferring me without helping.,2021-04-29
COMP-00424,Debt collection,Fraud or scam,The interest rate on my debt collection was changed without notice. This fraud or scam is causing significant financial hardship.,2020-08-07
COMP-00425,Auto loan,Managing account,My auto loan application was denied without explanation. The managing account has been ongoing for 42 days and I have received no response.,2024-01-18
COMP-00426,Checking account,Account access issues,I was charged an unexpected fee of $258 on my checking account account. I called customer service and waited 23 minutes but got no resolution.,2024-09-13
COMP-00427,Personal loan,Billing disputes,Unauthorized charges appeared on my personal loan. I reported the billing disputes but the company refused to investigate properly.,2024-01-16
COMP-00428,Personal loan,Closing account,My personal loan application was denied without explanation. The closing account has been ongoing for 70 days and I have received no response.,2020-09-17
COMP-00429,Credit card,Managing account,Unauthorized charges appeared on my credit card. I reported the managing account but the company refused to investigate properly.,2021-02-17
COMP-00430,Personal loan,Managing account,I have been trying to resolve this managing account for 38 days. The personal loan department keeps transferring me without helping.,2020-03-20
COMP-00431,Credit card,Problem with payment,The interest rate on my credit card was changed without notice. This problem with payment is causing significant financial hardship.,2023-03-24
COMP-00432,Debt collection,Fraud or scam,My debt collection application was denied without explanation. The fraud or scam has been ongoing for 81 days and I have received no response.,2021-11-10
COMP-00433,Personal loan,Unauthorized transactions,My personal loan application was denied without explanation. The unauthorized transactions has been ongoing for 59 days and I have received no response.,2023-11-27
COMP-00434,Debt collection,Closing account,Unauthorized charges appeared on my debt collection. I reported the closing account but the company refused to investigate properly.,2020-04-05
COMP-00435,Credit card,Closing account,The interest rate on my credit card was changed without notice. This closing account is causing significant financial hardship.,2020-04-24
COMP-00436,Student loan,Incorrect information on report,I have been trying to resolve this incorrect information on report for 15 days. The student loan department keeps transferring me without helping.,2020-11-01
COMP-00437,Personal loan,Managing account,Unauthorized charges appeared on my personal loan. I reported the managing account but the company refused to investigate properly.,2024-04-22
COMP-00438,Checking account,Closing account,The interest rate on my checking account was changed without notice. This closing account is causing significant financial hardship.,2023-06-10
COMP-00439,Money transfer,Unauthorized transactions,I was charged an unexpected fee of $497 on my money transfer account. I called customer service and waited 80 minutes but got no resolution.,2020-10-21
COMP-00440,Credit card,Closing account,My credit card application was denied without explanation. The closing account has been ongoing for 36 days and I have received no response.,2023-05-07
COMP-00441,Checking account,Billing disputes,My checking account application was denied without explanation. The billing disputes has been ongoing for 37 days and I have received no response.,2020-10-16
COMP-00442,Debt collection,Problem with payment,I was charged an unexpected fee of $38 on my debt collection account. I called customer service and waited 110 minutes but got no resolution.,2023-09-07
COMP-00443,Debt collection,Account access issues,I have been trying to resolve this account access issues for 8 days. The debt collection department keeps transferring me without helping.,2023-01-27
COMP-00444,Checking account,Account access issues,The interest rate on my checking account was changed without notice. This account access issues is causing significant financial hardship.,2021-05-14
COMP-00445,Mortgage,Incorrect information on report,I have been trying to resolve this incorrect information on report for 82 days. The mortgage department keeps transferring me without helping.,2022-01-19
COMP-00446,Credit card,Unauthorized transactions,I was charged an unexpected fee of $474 on my credit card account. I called customer service and waited 60 minutes but got no resolution.,2022-02-12
COMP-00447,Debt collection,Billing disputes,I was charged an unexpected fee of $202 on my debt collection account. I called customer service and waited 35 minutes but got no resolution.,2024-11-11
COMP-00448,Checking account,Account access issues,My checking account application was denied without explanation. The account access issues has been ongoing for 44 days and I have received no response.,2020-09-05
COMP-00449,Checking account,Unauthorized transactions,My checking account application was denied without explanation. The unauthorized transactions has been ongoing for 63 days and I have received no response.,2022-12-05
COMP-00450,Personal loan,Unauthorized transactions,My personal loan application was denied without explanation. The unauthorized transactions has been ongoing for 3 days and I have received no response.,2024-10-11
COMP-00451,Debt collection,Fraud or scam,I have been trying to resolve this fraud or scam for 86 days. The debt collection department keeps transferring me without helping.,2023-04-19
COMP-00452,Personal loan,Billing disputes,I was charged an unexpected fee of $183 on my personal loan account. I called customer service and waited 38 minutes but got no resolution.,2023-11-28
COMP-00453,Mortgage,Fraud or scam,The interest rate on my mortgage was changed without notice. This fraud or scam is causing significant financial hardship.,2022-12-24
COMP-00454,Checking account,Incorrect information on report,The interest rate on my checking account was changed without notice. This incorrect information on report is causing significant financial hardship.,2022-10-24
COMP-00455,Auto loan,Fraud or scam,The interest rate on my auto loan was changed without notice. This fraud or scam is causing significant financial hardship.,2023-09-19
COMP-00456,Money transfer,Incorrect information on report,My money transfer application was denied without explanation. The incorrect information on report has been ongoing for 43 days and I have received no response.,2020-01-14
COMP-00457,Checking account,Closing account,Unauthorized charges appeared on my checking account. I reported the closing account but the company refused to investigate properly.,2024-12-06
COMP-00458,Personal loan,Account access issues,My personal loan application was denied without explanation. The account access issues has been ongoing for 12 days and I have received no response.,2022-02-23
COMP-00459,Personal loan,Incorrect information on report,My personal loan application was denied without explanation. The incorrect information on report has been ongoing for 76 days and I have received no response.,2023-10-28
COMP-00460,Debt collection,Incorrect information on report,I have been trying to resolve this incorrect information on report for 23 days. The debt collection department keeps transferring me without helping.,2022-10-07
COMP-00461,Student loan,Unauthorized transactions,I was charged an unexpected fee of $404 on my student loan account. I called customer service and waited 68 minutes but got no resolution.,2023-10-03
COMP-00462,Credit card,Fraud or scam,The interest rate on my credit card was changed without notice. This fraud or scam is causing significant financial hardship.,2023-09-14
COMP-00463,Student loan,Managing account,I was charged an unexpected fee of $453 on my student loan account. I called customer service and waited 110 minutes but got no resolution.,2022-04-25
COMP-00464,Debt collection,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 84 days. The debt collection department keeps transferring me without helping.,2020-03-23
COMP-00465,Personal loan,Account access issues,My personal loan application was denied without explanation. The account access issues has been ongoing for 41 days and I have received no response.,2022-07-17
COMP-00466,Auto loan,Account access issues,I was charged an unexpected fee of $187 on my auto loan account. I called customer service and waited 17 minutes but got no resolution.,2022-06-04
COMP-00467,Checking account,Closing account,I was charged an unexpected fee of $308 on my checking account account. I called customer service and waited 84 minutes but got no resolution.,2021-04-25
COMP-00468,Credit card,Fraud or scam,The interest rate on my credit card was changed without notice. This fraud or scam is causing significant financial hardship.,2022-02-09
COMP-00469,Checking account,Problem with payment,The interest rate on my checking account was changed without notice. This problem with payment is causing significant financial hardship.,2023-08-22
COMP-00470,Money transfer,Managing account,Unauthorized charges appeared on my money transfer. I reported the managing account but the company refused to investigate properly.,2022-05-12
COMP-00471,Auto loan,Closing account,I was charged an unexpected fee of $57 on my auto loan account. I called customer service and waited 72 minutes but got no resolution.,2020-05-31
COMP-00472,Credit card,Account access issues,The interest rate on my credit card was changed without notice. This account access issues is causing significant financial hardship.,2021-02-26
COMP-00473,Auto loan,Managing account,My auto loan application was denied without explanation. The managing account has been ongoing for 48 days and I have received no response.,2021-08-14
COMP-00474,Mortgage,Closing account,Unauthorized charges appeared on my mortgage. I reported the closing account but the company refused to investigate properly.,2021-08-14
COMP-00475,Student loan,Problem with payment,I have been trying to resolve this problem with payment for 35 days. The student loan department keeps transferring me without helping.,2022-01-12
COMP-00476,Money transfer,Problem with payment,The interest rate on my money transfer was changed without notice. This problem with payment is causing significant financial hardship.,2020-03-28
COMP-00477,Mortgage,Billing disputes,I have been trying to resolve this billing disputes for 69 days. The mortgage department keeps transferring me without helping.,2022-07-09
COMP-00478,Checking account,Managing account,I was charged an unexpected fee of $284 on my checking account account. I called customer service and waited 88 minutes but got no resolution.,2023-03-27
COMP-00479,Debt collection,Incorrect information on report,The interest rate on my debt collection was changed without notice. This incorrect information on report is causing significant financial hardship.,2020-02-22
COMP-00480,Checking account,Incorrect information on report,My checking account application was denied without explanation. The incorrect information on report has been ongoing for 10 days and I have received no response.,2023-07-14
COMP-00481,Debt collection,Incorrect information on report,I have been trying to resolve this incorrect information on report for 89 days. The debt collection department keeps transferring me without helping.,2023-11-28
COMP-00482,Money transfer,Unauthorized transactions,My money transfer application was denied without explanation. The unauthorized transactions has been ongoing for 70 days and I have received no response.,2022-05-19
COMP-00483,Auto loan,Managing account,I have been trying to resolve this managing account for 10 days. The auto loan department keeps transferring me without helping.,2023-02-10
COMP-00484,Credit card,Managing account,My credit card application was denied without explanation. The managing account has been ongoing for 76 days and I have received no response.,2024-04-01
COMP-00485,Mortgage,Fraud or scam,The interest rate on my mortgage was changed without notice. This fraud or scam is causing significant financial hardship.,2020-08-24
COMP-00486,Auto loan,Billing disputes,Unauthorized charges appeared on my auto loan. I reported the billing disputes but the company refused to investigate properly.,2022-03-27
COMP-00487,Checking account,Fraud or scam,Unauthorized charges appeared on my checking account. I reported the fraud or scam but the company refused to investigate properly.,2022-01-31
COMP-00488,Student loan,Incorrect information on report,I have been trying to resolve this incorrect information on report for 52 days. The student loan department keeps transferring me without helping.,2023-07-24
COMP-00489,Credit card,Billing disputes,The interest rate on my credit card was changed without notice. This billing disputes is causing significant financial hardship.,2020-03-20
COMP-00490,Credit card,Managing account,I have been trying to resolve this managing account for 61 days. The credit card department keeps transferring me without helping.,2022-01-03
COMP-00491,Mortgage,Fraud or scam,The interest rate on my mortgage was changed without notice. This fraud or scam is causing significant financial hardship.,2020-10-04
COMP-00492,Debt collection,Unauthorized transactions,The interest rate on my debt collection was changed without notice. This unauthorized transactions is causing significant financial hardship.,2021-04-29
COMP-00493,Student loan,Unauthorized transactions,My student loan application was denied without explanation. The unauthorized transactions has been ongoing for 66 days and I have received no response.,2020-04-12
COMP-00494,Personal loan,Billing disputes,I have been trying to resolve this billing disputes for 40 days. The personal loan department keeps transferring me without helping.,2023-01-27
COMP-00495,Credit card,Billing disputes,I was charged an unexpected fee of $219 on my credit card account. I called customer service and waited 29 minutes but got no resolution.,2022-07-17
COMP-00496,Checking account,Incorrect information on report,My checking account application was denied without explanation. The incorrect information on report has been ongoing for 82 days and I have received no response.,2024-09-02
COMP-00497,Auto loan,Account access issues,My auto loan application was denied without explanation. The account access issues has been ongoing for 71 days and I have received no response.,2024-09-10
COMP-00498,Credit card,Billing disputes,I was charged an unexpected fee of $418 on my credit card account. I called customer service and waited 52 minutes but got no resolution.,2020-02-20
COMP-00499,Credit card,Fraud or scam,Unauthorized charges appeared on my credit card. I reported the fraud or scam but the company refused to investigate properly.,2022-10-07
COMP-00500,Mortgage,Billing disputes,My mortgage application was denied without explanation. The billing disputes has been ongoing for 47 days and I have received no response.,2022-02-25
COMP-00501,Checking account,Unauthorized transactions,My checking account application was denied without explanation. The unauthorized transactions has been ongoing for 69 days and I have received no response.,2022-11-09
COMP-00502,Personal loan,Billing disputes,I was charged an unexpected fee of $460 on my personal loan account. I called customer service and waited 24 minutes but got no resolution.,2023-05-15
COMP-00503,Credit card,Unauthorized transactions,Unauthorized charges appeared on my credit card. I reported the unauthorized transactions but the company refused to investigate properly.,2024-10-06
COMP-00504,Mortgage,Managing account,Unauthorized charges appeared on my mortgage. I reported the managing account but the company refused to investigate properly.,2024-09-02
COMP-00505,Auto loan,Problem with payment,My auto loan application was denied without explanation. The problem with payment has been ongoing for 28 days and I have received no response.,2021-05-20
COMP-00506,Checking account,Account access issues,I have been trying to resolve this account access issues for 80 days. The checking account department keeps transferring me without helping.,2024-02-02
COMP-00507,Checking account,Incorrect information on report,I have been trying to resolve this incorrect information on report for 43 days. The checking account department keeps transferring me without helping.,2024-10-31
COMP-00508,Credit card,Problem with payment,My credit card application was denied without explanation. The problem with payment has been ongoing for 46 days and I have received no response.,2024-10-12
COMP-00509,Student loan,Billing disputes,Unauthorized charges appeared on my student loan. I reported the billing disputes but the company refused to investigate properly.,2024-09-25
COMP-00510,Debt collection,Closing account,My debt collection application was denied without explanation. The closing account has been ongoing for 40 days and I have received no response.,2023-05-20
COMP-00511,Credit card,Account access issues,I was charged an unexpected fee of $331 on my credit card account. I called customer service and waited 96 minutes but got no resolution.,2023-07-01
COMP-00512,Debt collection,Billing disputes,I have been trying to resolve this billing disputes for 85 days. The debt collection department keeps transferring me without helping.,2023-10-14
COMP-00513,Credit card,Unauthorized transactions,My credit card application was denied without explanation. The unauthorized transactions has been ongoing for 20 days and I have received no response.,2024-10-09
COMP-00514,Personal loan,Billing disputes,The interest rate on my personal loan was changed without notice. This billing disputes is causing significant financial hardship.,2023-02-08
COMP-00515,Student loan,Fraud or scam,My student loan application was denied without explanation. The fraud or scam has been ongoing for 80 days and I have received no response.,2021-10-19
COMP-00516,Debt collection,Incorrect information on report,I was charged an unexpected fee of $124 on my debt collection account. I called customer service and waited 17 minutes but got no resolution.,2020-03-25
COMP-00517,Money transfer,Account access issues,I was charged an unexpected fee of $245 on my money transfer account. I called customer service and waited 114 minutes but got no resolution.,2020-01-29
COMP-00518,Mortgage,Incorrect information on report,My mortgage application was denied without explanation. The incorrect information on report has been ongoing for 74 days and I have received no response.,2022-09-02
COMP-00519,Checking account,Account access issues,I have been trying to resolve this account access issues for 8 days. The checking account department keeps transferring me without helping.,2023-01-28
COMP-00520,Debt collection,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 85 days. The debt collection department keeps transferring me without helping.,2020-12-24
COMP-00521,Mortgage,Closing account,Unauthorized charges appeared on my mortgage. I reported the closing account but the company refused to investigate properly.,2023-11-02
COMP-00522,Money transfer,Problem with payment,My money transfer application was denied without explanation. The problem with payment has been ongoing for 27 days and I have received no response.,2023-01-06
COMP-00523,Student loan,Incorrect information on report,I was charged an unexpected fee of $221 on my student loan account. I called customer service and waited 80 minutes but got no resolution.,2020-09-04
COMP-00524,Mortgage,Account access issues,Unauthorized charges appeared on my mortgage. I reported the account access issues but the company refused to investigate properly.,2021-10-30
COMP-00525,Credit card,Account access issues,I have been trying to resolve this account access issues for 82 days. The credit card department keeps transferring me without helping.,2022-05-30
COMP-00526,Mortgage,Closing account,I have been trying to resolve this closing account for 52 days. The mortgage department keeps transferring me without helping.,2024-11-10
COMP-00527,Debt collection,Managing account,I have been trying to resolve this managing account for 36 days. The debt collection department keeps transferring me without helping.,2020-01-21
COMP-00528,Credit card,Account access issues,My credit card application was denied without explanation. The account access issues has been ongoing for 54 days and I have received no response.,2021-02-28
COMP-00529,Mortgage,Fraud or scam,Unauthorized charges appeared on my mortgage. I reported the fraud or scam but the company refused to investigate properly.,2021-11-21
COMP-00530,Debt collection,Fraud or scam,My debt collection application was denied without explanation. The fraud or scam has been ongoing for 29 days and I have received no response.,2024-05-22
COMP-00531,Money transfer,Unauthorized transactions,The interest rate on my money transfer was changed without notice. This unauthorized transactions is causing significant financial hardship.,2021-03-22
COMP-00532,Money transfer,Closing account,My money transfer application was denied without explanation. The closing account has been ongoing for 77 days and I have received no response.,2023-11-22
COMP-00533,Debt collection,Unauthorized transactions,I was charged an unexpected fee of $258 on my debt collection account. I called customer service and waited 72 minutes but got no resolution.,2024-12-05
COMP-00534,Auto loan,Incorrect information on report,The interest rate on my auto loan was changed without notice. This incorrect information on report is causing significant financial hardship.,2020-03-21
COMP-00535,Mortgage,Fraud or scam,I was charged an unexpected fee of $178 on my mortgage account. I called customer service and waited 30 minutes but got no resolution.,2021-05-13
COMP-00536,Mortgage,Problem with payment,Unauthorized charges appeared on my mortgage. I reported the problem with payment but the company refused to investigate properly.,2022-11-14
COMP-00537,Credit card,Problem with payment,My credit card application was denied without explanation. The problem with payment has been ongoing for 13 days and I have received no response.,2023-01-17
COMP-00538,Credit card,Unauthorized transactions,My credit card application was denied without explanation. The unauthorized transactions has been ongoing for 41 days and I have received no response.,2020-12-21
COMP-00539,Auto loan,Billing disputes,Unauthorized charges appeared on my auto loan. I reported the billing disputes but the company refused to investigate properly.,2020-09-03
COMP-00540,Debt collection,Billing disputes,The interest rate on my debt collection was changed without notice. This billing disputes is causing significant financial hardship.,2022-01-09
COMP-00541,Checking account,Incorrect information on report,I was charged an unexpected fee of $446 on my checking account account. I called customer service and waited 74 minutes but got no resolution.,2021-10-14
COMP-00542,Mortgage,Billing disputes,Unauthorized charges appeared on my mortgage. I reported the billing disputes but the company refused to investigate properly.,2021-08-11
COMP-00543,Money transfer,Unauthorized transactions,The interest rate on my money transfer was changed without notice. This unauthorized transactions is causing significant financial hardship.,2022-11-06
COMP-00544,Student loan,Managing account,The interest rate on my student loan was changed without notice. This managing account is causing significant financial hardship.,2022-07-04
COMP-00545,Student loan,Fraud or scam,The interest rate on my student loan was changed without notice. This fraud or scam is causing significant financial hardship.,2022-10-23
COMP-00546,Personal loan,Fraud or scam,I have been trying to resolve this fraud or scam for 50 days. The personal loan department keeps transferring me without helping.,2022-06-09
COMP-00547,Money transfer,Managing account,I have been trying to resolve this managing account for 14 days. The money transfer department keeps transferring me without helping.,2022-10-10
COMP-00548,Mortgage,Fraud or scam,The interest rate on my mortgage was changed without notice. This fraud or scam is causing significant financial hardship.,2021-12-06
COMP-00549,Credit card,Incorrect information on report,I was charged an unexpected fee of $476 on my credit card account. I called customer service and waited 58 minutes but got no resolution.,2020-09-08
COMP-00550,Checking account,Problem with payment,The interest rate on my checking account was changed without notice. This problem with payment is causing significant financial hardship.,2023-11-03
COMP-00551,Student loan,Closing account,The interest rate on my student loan was changed without notice. This closing account is causing significant financial hardship.,2023-08-06
COMP-00552,Credit card,Problem with payment,My credit card application was denied without explanation. The problem with payment has been ongoing for 8 days and I have received no response.,2024-08-05
COMP-00553,Checking account,Closing account,I have been trying to resolve this closing account for 11 days. The checking account department keeps transferring me without helping.,2024-03-08
COMP-00554,Personal loan,Billing disputes,Unauthorized charges appeared on my personal loan. I reported the billing disputes but the company refused to investigate properly.,2020-08-21
COMP-00555,Personal loan,Closing account,Unauthorized charges appeared on my personal loan. I reported the closing account but the company refused to investigate properly.,2022-08-24
COMP-00556,Money transfer,Account access issues,My money transfer application was denied without explanation. The account access issues has been ongoing for 13 days and I have received no response.,2024-10-16
COMP-00557,Personal loan,Managing account,The interest rate on my personal loan was changed without notice. This managing account is causing significant financial hardship.,2023-01-25
COMP-00558,Checking account,Closing account,The interest rate on my checking account was changed without notice. This closing account is causing significant financial hardship.,2024-07-12
COMP-00559,Credit card,Account access issues,The interest rate on my credit card was changed without notice. This account access issues is causing significant financial hardship.,2024-10-20
COMP-00560,Student loan,Account access issues,I have been trying to resolve this account access issues for 53 days. The student loan department keeps transferring me without helping.,2022-02-07
COMP-00561,Mortgage,Managing account,Unauthorized charges appeared on my mortgage. I reported the managing account but the company refused to investigate properly.,2022-05-04
COMP-00562,Debt collection,Problem with payment,I was charged an unexpected fee of $121 on my debt collection account. I called customer service and waited 102 minutes but got no resolution.,2021-03-08
COMP-00563,Credit card,Account access issues,Unauthorized charges appeared on my credit card. I reported the account access issues but the company refused to investigate properly.,2021-01-01
COMP-00564,Personal loan,Unauthorized transactions,The interest rate on my personal loan was changed without notice. This unauthorized transactions is causing significant financial hardship.,2023-11-24
COMP-00565,Personal loan,Incorrect information on report,Unauthorized charges appeared on my personal loan. I reported the incorrect information on report but the company refused to investigate properly.,2023-06-09
COMP-00566,Mortgage,Incorrect information on report,Unauthorized charges appeared on my mortgage. I reported the incorrect information on report but the company refused to investigate properly.,2020-02-06
COMP-00567,Auto loan,Account access issues,Unauthorized charges appeared on my auto loan. I reported the account access issues but the company refused to investigate properly.,2022-06-01
COMP-00568,Debt collection,Account access issues,Unauthorized charges appeared on my debt collection. I reported the account access issues but the company refused to investigate properly.,2024-11-08
COMP-00569,Checking account,Closing account,I have been trying to resolve this closing account for 68 days. The checking account department keeps transferring me without helping.,2022-07-25
COMP-00570,Debt collection,Problem with payment,Unauthorized charges appeared on my debt collection. I reported the problem with payment but the company refused to investigate properly.,2022-07-15
COMP-00571,Money transfer,Problem with payment,The interest rate on my money transfer was changed without notice. This problem with payment is causing significant financial hardship.,2020-08-24
COMP-00572,Checking account,Billing disputes,The interest rate on my checking account was changed without notice. This billing disputes is causing significant financial hardship.,2021-03-16
COMP-00573,Debt collection,Problem with payment,Unauthorized charges appeared on my debt collection. I reported the problem with payment but the company refused to investigate properly.,2020-01-26
COMP-00574,Personal loan,Fraud or scam,My personal loan application was denied without explanation. The fraud or scam has been ongoing for 53 days and I have received no response.,2024-05-15
COMP-00575,Credit card,Problem with payment,The interest rate on my credit card was changed without notice. This problem with payment is causing significant financial hardship.,2022-11-26
COMP-00576,Checking account,Incorrect information on report,My checking account application was denied without explanation. The incorrect information on report has been ongoing for 47 days and I have received no response.,2022-11-22
COMP-00577,Student loan,Incorrect information on report,Unauthorized charges appeared on my student loan. I reported the incorrect information on report but the company refused to investigate properly.,2020-01-28
COMP-00578,Auto loan,Fraud or scam,The interest rate on my auto loan was changed without notice. This fraud or scam is causing significant financial hardship.,2022-01-09
COMP-00579,Personal loan,Closing account,My personal loan application was denied without explanation. The closing account has been ongoing for 62 days and I have received no response.,2020-01-30
COMP-00580,Student loan,Fraud or scam,Unauthorized charges appeared on my student loan. I reported the fraud or scam but the company refused to investigate properly.,2021-11-25
COMP-00581,Mortgage,Problem with payment,I have been trying to resolve this problem with payment for 42 days. The mortgage department keeps transferring me without helping.,2022-07-21
COMP-00582,Credit card,Incorrect information on report,My credit card application was denied without explanation. The incorrect information on report has been ongoing for 64 days and I have received no response.,2020-10-03
COMP-00583,Personal loan,Problem with payment,I was charged an unexpected fee of $281 on my personal loan account. I called customer service and waited 28 minutes but got no resolution.,2022-10-13
